StudyInstanceUID,SOPInstanceUID,annotationMode,labelName,data,qualitativeLabel,height,width,SeriesDescription,ImagerPixelSpacing,SeriesInstanceUID,ManufacturerModelName,PhotometricInterpretation,Split
1.3.6.1.4.1.14519.5.2.1.1239.1759.101380278587577399927502648557,1.3.6.1.4.1.14519.5.2.1.1239.1759.480712106054592711077666732260,bounding_box,Nipple,"{'x': 689.32668, 'y': 1140.16237, 'width': 115.73334, 'height': 144.66663}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.16172607991896110887397191561359555065,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105268717522172297963502257226,1.3.6.1.4.1.14519.5.2.1.1239.1759.209327891980546668259129023997,bounding_box,Nipple,"{'x': 701.72668, 'y': 1074.02903, 'width': 177.7334, 'height': 157.06665}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.44977930710571897808351141308438859799,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105593846984088477094429233937,1.3.6.1.4.1.14519.5.2.1.1239.1759.274803233000102892515993701347,bounding_box,Nipple,"{'x': 1006.60845, 'y': 1156.6957, 'width': 152.93335, 'height': 152.93335}",Bad,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.98234137845419694492094390161217412648,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.108455965238478952451941262780,1.3.6.1.4.1.14519.5.2.1.1239.1759.287765845345084511830357157298,bounding_box,Nipple,"{'x': 1077.86001, 'y': 1177.36237, 'width': 165.33325, 'height': 157.06665}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11761883278395333016301713845864586309,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.108946225659261532080155214720,1.3.6.1.4.1.14519.5.2.1.1239.1759.236095957149246221504840260098,bounding_box,Nipple,"{'x': 668.66001, 'y': 1020.2957, 'width': 140.53333, 'height': 136.40002}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.48776949055994743093185757530521805171,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.110405475844866355077565976617,1.3.6.1.4.1.14519.5.2.1.1239.1759.146681751174876484827896904836,bounding_box,Nipple,"{'x': 1275.27511, 'y': 1148.42903, 'width': 124, 'height': 119.8667}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11466401025717777366563761351394384135,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.115633948895105654468090052590,1.3.6.1.4.1.14519.5.2.1.1239.1759.147951928725578623063030343173,bounding_box,Nipple,"{'x': 1333.14178, 'y': 1040.96237, 'width': 136.40002, 'height': 169.46667}",Good,2294,1914,R-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.73791187451364451863210195287645899804,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.118994475832455570260022436965,1.3.6.1.4.1.14519.5.2.1.1239.1759.107581505705903176963697678514,bounding_box,Nipple,"{'x': 437.19334, 'y': 1119.4957, 'width': 99.20001, 'height': 152.93335}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.84022217791647756148164490857462301069,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.124348502696904035055432650669,1.3.6.1.4.1.14519.5.2.1.1239.1759.279696016442186319929323612951,bounding_box,Nipple,"{'x': 412.39334, 'y': 1057.4957, 'width': 157.06665, 'height': 161.20007}",Good,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.12312599842803656983319096302143372167,,MONOCHROME2,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.126672301257265332601114520039,1.3.6.1.4.1.14519.5.2.1.1239.1759.183235975326947824545091718387,bounding_box,Nipple,"{'x': 672.79338, 'y': 1226.96237, 'width': 82.66669, 'height': 140.53333}",Bad,2294,1914,L-CC,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.11070122290516361732755174936153545838,,MONOCHROME2,Test
