StudyInstanceUID,SOPInstanceUID,annotationMode,labelName,data,qualitativeLabel,height,width,SeriesDescription,ImagerPixelSpacing,SeriesInstanceUID,ManufacturerModelName,PhotometricInterpretation,Split
1.3.6.1.4.1.14519.5.2.1.1239.1759.101380278587577399927502648557,1.3.6.1.4.1.14519.5.2.1.1239.1759.222022697631494749645110659650,bounding_box,Nipple,"{'x': 675.9418, 'y': 1603.0957, 'width': 157.06665, 'height': 144.66663}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.84718280973461689261087032423277467367,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.101380278587577399927502648557,1.3.6.1.4.1.14519.5.2.1.1239.1759.222022697631494749645110659650,line,PNL,"{'vertices': [[785.94639, 1687.92093], [31.51427, 1187.89033]]}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.84718280973461689261087032423277467367,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.101380278587577399927502648557,1.3.6.1.4.1.14519.5.2.1.1239.1759.222022697631494749645110659650,line,Pectoralis,"{'vertices': [[2.20845, 1247.62903], [601.54178, 11.76237]]}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.84718280973461689261087032423277467367,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105268717522172297963502257226,1.3.6.1.4.1.14519.5.2.1.1239.1759.875332490791287089314950534433,bounding_box,Nipple,"{'x': 709.00845, 'y': 1367.4957, 'width': 186, 'height': 148.80005}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.72147868599383919746215155959152356931,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105268717522172297963502257226,1.3.6.1.4.1.14519.5.2.1.1239.1759.875332490791287089314950534433,line,PNL,"{'vertices': [[799.10509, 1424.74693], [193.8049, 1117.7106]]}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.72147868599383919746215155959152356931,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105268717522172297963502257226,1.3.6.1.4.1.14519.5.2.1.1239.1759.875332490791287089314950534433,line,Pectoralis,"{'vertices': [[13.96934, 1543.17523], [566.63473, 187.82915]]}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.72147868599383919746215155959152356931,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105593846984088477094429233937,1.3.6.1.4.1.14519.5.2.1.1239.1759.146916223026192577739623935189,bounding_box,Nipple,"{'x': 929.06001, 'y': 1764.2957, 'width': 136.40002, 'height': 177.7334}",Good,2294,1914,R-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10570398399744602440536017540364770132,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105593846984088477094429233937,1.3.6.1.4.1.14519.5.2.1.1239.1759.146916223026192577739623935189,line,PNL,"{'vertices': [[1001.91671, 1850.21156], [1844.07351, 1319.47736]]}",Good,2294,1914,R-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10570398399744602440536017540364770132,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.105593846984088477094429233937,1.3.6.1.4.1.14519.5.2.1.1239.1759.146916223026192577739623935189,line,Pectoralis,"{'vertices': [[1901.09453, 1455.45056], [1344.04291, 205.37408]]}",Good,2294,1914,R-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.10570398399744602440536017540364770132,,,Test
1.3.6.1.4.1.14519.5.2.1.1239.1759.108455965238478952451941262780,1.3.6.1.4.1.14519.5.2.1.1239.1759.206274591265106274433060948752,bounding_box,Nipple,"{'x': 1147.14174, 'y': 1553.4957, 'width': 165.33337, 'height': 186.00012}",Good,2294,1914,L-MLO,0.094090909\0.094090909,1.2.826.0.1.3680043.8.498.52014005728767498898464506548782035968,,,Test
